paper_id,reviewer_id,review_content,accept_possibility
10.1002/asi.24855,55445000700,Next certain tend million country compare.,0.2548716289563059
10.1002/asi.24855,57946022500,Hold thus safe difficult focus.,0.46641705304951975
10.1002/asi.24855,25921550000,Drug fund sure political social.,0.12258255075464908
10.3390/s24041209,7202386927,Once pressure Congress.,0.4957900622249184
10.3390/s24041209,57219774903,Until talk believe why.,0.05016048440234988
10.3390/s24041209,57216690755,Same source buy.,0.8455292947463285
10.1007/s11042-023-16751-6,56586277400,Miss property us policy.,0.1500107771003918
10.1007/s11042-023-16751-6,57193642141,Top remember give assume Republican.,0.5051806595099329
10.1007/s11042-023-16751-6,58939781300,Us away put since establish.,0.48132059392309856
10.1109/ICICIS56802.2023.10430275,55102730300,Security weight enough idea which situation.,0.3962714052763179
10.1109/ICICIS56802.2023.10430275,58813056500,Provide everyone push check religious.,0.5732195255243147
10.1109/ICICIS56802.2023.10430275,57295738100,Force field accept middle usually arrive.,0.4958162723049643
10.1109/TNET.2024.3352029,57211919598,Computer change day direction note make exactly.,0.749948689525436
10.1109/TNET.2024.3352029,56736147300,State fire never leave blue second perform.,0.0783371309280364
10.1109/TNET.2024.3352029,58897001100,Face reduce care listen best.,0.5257126285604369
10.1145/3592307.3592335,57203243422,Daughter use effort level prepare then whom.,0.08838710307099185
10.1145/3592307.3592335,58736026900,Whose most before draw page five case although.,0.30418532586823943
10.1145/3592307.3592335,58411077300,Result card stay through wait nature.,0.8397877031975087
10.1007/s40031-024-01006-1,57219121206,Idea budget exist.,0.35043170313679584
10.1007/s40031-024-01006-1,57217861698,Give station here set available.,0.04003460329368891
10.1007/s40031-024-01006-1,58549184000,Century yeah not friend himself mean.,0.8970650589802602
10.1016/j.bspc.2023.105884,57194236254,Off area mother recent onto experience determine.,0.6574991596015612
10.1016/j.bspc.2023.105884,56178153800,Fast so while another. Everything choose than.,0.9205609327497682
10.1016/j.bspc.2023.105884,55504385300,Republican standard work time finally begin part.,0.3151063549891686
10.1016/j.specom.2024.103039,56066018400,Argue city interesting these.,0.056853593010434356
10.1016/j.specom.2024.103039,56948560600,Seek him space state.,0.8100708677093384
10.1016/j.specom.2024.103039,58940080400,Left court discuss side. Close thank lay.,0.4173370489573175
10.1109/ACCESS.2023.3344680,24492106800,Particular teach worker expert rich star.,0.036144847243890554
10.1109/ACCESS.2023.3344680,56580909900,Parent attorney dream recognize.,0.1671337765780455
10.1109/ACCESS.2023.3344680,57883413500,Clearly painting door or free bad stuff kitchen.,0.16309410752072995
10.1109/TLT.2023.3322128,58725199400,Base involve low song.,0.5601858053155556
10.1109/TLT.2023.3322128,26633967400,Laugh indeed offer drop wide peace.,0.6776052045010436
10.1109/TLT.2023.3322128,58831529200,Cut by ball score natural rate.,0.1666257440965967
10.1109/NEleX59773.2023.10421720,57208737479,Role need her experience play order.,0.5799761037492531
10.1109/NEleX59773.2023.10421720,57192938047,After board ground approach.,0.5886707767202009
10.1109/NEleX59773.2023.10421720,58024052900,Position hit its down day black mention.,0.3935201718595781
10.4230/LIPIcs.ICDT.2023.14,57462233000,Fill seven coach drop performance.,0.11159454705015237
10.4230/LIPIcs.ICDT.2023.14,56535317400,May event PM factor low catch work tell.,0.6017870321504832
10.4230/LIPIcs.ICDT.2023.14,58945365900,Reflect whole whole best thought southern sort.,0.9320620575475552
10.4230/LIPIcs.ICDT.2023.7,35494458100,Foreign full these glass.,0.19940299092119684
10.4230/LIPIcs.ICDT.2023.7,58127784300,Term any focus imagine.,0.42002933602482284
10.4230/LIPIcs.ICDT.2023.7,55800543300,Change best religious home. Yet wall take.,0.21747346453236727
10.4230/LIPIcs.ICDT.2023.5,56315484900,Morning focus no kid.,0.7203983161480054
10.4230/LIPIcs.ICDT.2023.5,7101690708,Action else scene might TV over receive.,0.8837819692307236
10.4230/LIPIcs.ICDT.2023.5,6602842479,Field environment near management oil movie.,0.8339638685420321
10.4230/LIPIcs.ICDT.2023.8,57216935011,Experience hold minute challenge capital.,0.2889976925442894
10.4230/LIPIcs.ICDT.2023.8,8571819900,His news hand else hot probably you.,0.3319278635200933
10.4230/LIPIcs.ICDT.2023.8,58904621200,People source much. When local long green onto.,0.3932025199725844
10.4230/LIPIcs.ICDT.2023.22,57780257100,Act either necessary.,0.3625551299068427
10.4230/LIPIcs.ICDT.2023.22,55636321172,Western number large western page.,0.8060091967860639
