author_id,author_name,author_affiliation
57219571200,Abalkina A.," Freie Universität Berlin, Berlin, Germany"
35726817600,Abbaszadeh Shahri A.," Johan Lundberg AB, Uppsala, 754 50, Sweden, Division of Rock Engineering, Tyrens, Stockholm, 118 86, Sweden"
58897160900,Shan C.," Division of Rock Engineering, Tyrens, Stockholm, 118 86, Sweden, Division of Soil and Rock Mechanics, Royal Institute of Technology, KTH, Stockholm, 114 28, Sweden"
56441810700,Larsson S.," Division of Soil and Rock Mechanics, Royal Institute of Technology, KTH, Stockholm, 114 28, Sweden"
57201493795,Johansson F.," Division of Soil and Rock Mechanics, Royal Institute of Technology, KTH, Stockholm, 114 28, Sweden"
56905439800,Abdulhasan R.A.," Department of Communication Engineering, Faculty of Electrical and Electronic Engineering, Universiti Tun Hussein Onn Malaysia, Johor, Malaysia, Department of Electrical Engineering, Faculty of Engineering, Mustansiriyah University, Baghdad, Iraq"
58590896700,Abd Al-latief S.T.," Faculty of Information and Communication Technology, Universiti Tenaga Nasional, Selangor, Kajang, Malaysia"
58590009300,Kadhim S.M.," Faculty of Engineering, Universiti Tenaga Nasional, Selangor, Kajang, Malaysia"
58916008100,Abhang P.B.," Dr. Babasaheb Ambedkar Marathwada University, Department of Computer Science, Maharashtra, Aurangabad, India"
55842581400,Nimbhore S.S.," Dr. Babasaheb Ambedkar Marathwada University, Department of Computer Science, Maharashtra, Aurangabad, India"
9639157500,Abolhassani B.," Bradley Department of Electrical and Computer Engineering, Virginia Tech, Blacksburg, VA, USA"
36169455600,Tadrous J.," Department of Electrical and Computer Engineering, Gonzaga University, Spokane, WA, USA"
57207522864,Eryilmaz A.," Department of Electrical and Computer Engineering, The Ohio State University, Columbus, OH, USA"
7006334565,Yuksel S.," Department of Mathematics and Statistics, Queen&#x2019;s University, Kingston, Canada"
57678846400,Adiyatma F.Y.M.," School of Engineering, King Mongkut's Institute of Technology Ladkrabang, Thailand"
54974129600,Suroso D.J.," School of Engineering, King Mongkut's Institute of Technology Ladkrabang, Thailand"
24823949600,Cherntanomwong P.," School of Engineering, King Mongkut's Institute of Technology Ladkrabang, Thailand"
57208325596,Ahammad S.H.," Department of ECE, Koneru Lakshmaiah Education Foundation, Vaddeswaram, 522302, India"
57216585545,Mohammed T.K.," Department of Artificial Intelligence and Machine Learning, School of Engineering, Malla Reddy University, Maisammaguda, Dulapally, Telangana, Hyderabad, 500100, India"
58914838400,Mandula P.C.," Department of Artificial Intelligence and Machine Learning, School of Engineering, Malla Reddy University, Maisammaguda, Dulapally, Telangana, Hyderabad, 500100, India"
58915558800,Nidumolu V.," Department of ECE, Koneru Lakshmaiah Education Foundation, Vaddeswaram, 522302, India"
55797310800,Suman M.," Department of ECE, Koneru Lakshmaiah Education Foundation, Vaddeswaram, 522302, India"
57207269240,Hossain M.A.," Department of Electrical and Electronic Engineering, Jashore University of Science and Technology, Jashore, 7408, Bangladesh"
36118361900,Rashed A.N.Z.," Electronics and Electrical Communications Engineering Department, Faculty of Electronic Engineering, Menoufia University, Al Minufiyah, Menouf, 32951, Egypt, Department of VLSI Microelectronics, Institute of Electronics and Communication Engineering, Saveetha School of Engineering, SIMATS, Tamilnadu, Chennai, 602105, India"
57883556700,Alamatsaz N.," Department of Biomedical Engineering, Faculty of Engineering, University of Isfahan, Isfahan, Iran"
57884306400,Tabatabaei L.," Department of Biomedical Engineering, Faculty of Engineering, University of Isfahan, Isfahan, Iran"
55395369000,Yazdchi M.," Department of Biomedical Engineering, Faculty of Engineering, University of Isfahan, Isfahan, Iran"
57884306500,Payan H.," Department of Electrical Engineering, Amirkabir University of Technology, Tehran, Iran"
57196413415,Alamatsaz N.," Department of Biomedical Engineering, New Jersey Institute of Technology, Newark, United States, Graduate School of Biomedical Sciences, Rutgers University, Newark, United States"
57216895794,Nasimi F.," Department of Biomedical Engineering, Faculty of Engineering, University of Isfahan, Isfahan, Iran, Department of Computer Science, Khansar Campus, University of Isfahan, Isfahan, Iran"
7005780945,Alku P.," Department of Information and Communications Engineering, Aalto University, Finland"
57220011737,Kodali M.," Department of Information and Communications Engineering, Aalto University, Finland"
13608760900,Laaksonen L.," Tampere Wireless Headset Audio Lab, Huawei Technologies Oy Co., Ltd., Finland"
56331292000,Kadiri S.R.," Department of Information and Communications Engineering, Aalto University, Finland"
