title,abstract,pages,DOI,link,year
Challenges posed by hijacked journals in Scopus,"This study presents and explains the phenomenon of indexjacking, which involves the systematic infiltration of hijacked journals into international indexing databases, with Scopus being one of the most infiltrated among these databases. Through an analysis of known lists of hijacked journals, the study identified at least 67 hijacked journals that have penetrated Scopus since 2013. Of these, 33 journals indexed unauthorized content in Scopus and 23 compromised the homepage link in the journal's profile, while 11 did both. As of September 2023, 41 hijacked journals are still compromising the data of legitimate journals in Scopus. The presence of hijacked journals in Scopus is a challenge for scientific integrity due to the legitimization of unreliable papers that have not undergone peer review and compromises the quality of the Scopus database. The presence of hijacked journals in Scopus has far-reaching effects. Papers published in these journals may be cited, and unauthorized content from these journals in Scopus is thus imported into other databases, including ORCID and the WHO COVID-19 Research Database. This poses a particular challenge for research evaluation in those countries, where cloned versions of approved journals may be used to acquire publications and verifying their authenticity can be difficult. © 2023 The Authors. Journal of the Association for Information Science and Technology published by Wiley Periodicals LLC on behalf of Association for Information Science and Technology.",395-422,10.1002/asi.24855,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85177730960&doi=10.1002%2fasi.24855&partnerID=40&md5=4b2cdcf54b854ebba15671567d95a991,2023
Normalizing Large Scale Sensor-Based MWD Data: An Automated Method toward A Unified Database,"In the context of geo-infrastructures and specifically tunneling projects, analyzing the large-scale sensor-based measurement-while-drilling (MWD) data plays a pivotal role in assessing rock engineering conditions. However, handling the big MWD data due to multiform stacking is a time-consuming and challenging task. Extracting valuable insights and improving the accuracy of geoengineering interpretations from MWD data necessitates a combination of domain expertise and data science skills in an iterative process. To address these challenges and efficiently normalize and filter out noisy data, an automated processing approach integrating the stepwise technique, mode, and percentile gate bands for both single and peer group-based holes was developed. Subsequently, the mathematical concept of a novel normalizing index for classifying such big datasets was also presented. The visualized results from different geo-infrastructure datasets in Sweden indicated that outliers and noisy data can more efficiently be eliminated using single hole-based normalizing. Additionally, a relational unified PostgreSQL database was created to store and automatically transfer the processed and raw MWD as well as real time grouting data that offers a cost effective and efficient data extraction tool. The generated database is expected to facilitate in-depth investigations and enable application of the artificial intelligence (AI) techniques to predict rock quality conditions and design appropriate support systems based on MWD data. © 2024 by the authors.",-,10.3390/s24041209,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185561482&doi=10.3390%2fs24041209&partnerID=40&md5=5cb27b9fe25b5c2a65a178b4b28694e7,2022
Instant learning based on deep neural network with linear discriminant analysis features extraction for accurate iris recognition system,"Biometric-based identity verification systems have gained substantial attention due to their ability to provide high-level security. Among these systems, iris recognition systems have emerged as one of the most accurate and complex verification approaches. However, an ideal recognition system with a short processing time has not yet been reported in the literature because of the trade-offs involved. In this article, a novel framework for an iris recognition system is proposed based on hybrid deep neural network (DNN) classification-based Linear Discriminant Analysis (LDA) for feature extraction. The developed system includes unique pre-processing steps for both training and testing datasets, which are modulated by greyscale conversation, Gaussian blurring, binary imaging, contour segmentation and resizing. The proposed LDA-DNN provides high accuracy and stability for human identity verification with a short processing time. The proposed model accomplishes this task perfectly without any loss, which is unique among this type of approach. The results are validated via five computed measurement parameters. Experimental results are obtained by applying the model to four typical existing databases for powerful validation. Moreover, the proposed LDA-DNN framework results are compared with outcome measures obtained for state-of-the-art iris recognition approaches. The experimental results illustrate the success and power of the proposed LDA-DNN model, which attains an accuracy of 100% within a time of 70 ms, corresponding to an ideal recognition result that validated using several databases. Furthermore, this work provides a model within a unique property, in which it does not require a specific database or measurement parameters for evaluation. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2023.",32099-32122,10.1007/s11042-023-16751-6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171424677&doi=10.1007%2fs11042-023-16751-6&partnerID=40&md5=1b9a48a4de7c702a768852ced592ace3,2024
Continuous Speech Database Acquisition of Various Dialects from Maharashtra Region,"The development of a speech dataset in the Marathwada dialect of the Marathi language, which is spoken across the Maharashtra state is described in this paper. The study describes the creation of a continuous sentences speech dataset in Marathi for different dialects, as well as a continuous speech database for various dialects in various Maharashtra areas. The newly developed voice database will be useful to all Marathi language scholars. Any different variety of a language spoken by a group of people is referred to as a dialect. Dialect refers to variances in a language's speaking patterns. Due to the speakers' regional and cultural disparities, individuals' exposure to native languages impacts their accents and choice of words through conversation. Marathi seems to be an Indo- Aryan linguistic pronounced primarily by the Marathi community throughout Maharashtra, India. It is the state language of Maharashtra. The spoken form of Marathi varies by area. These changes have a significant impact on the utterance architecture of phonology. Such changes have a significant impact on the utterance architecture of phonology. Four separate Marathi dialects, including Marathwada area (Marathi), Khandesh (Ahirani), Vidarbha region (Varhadi), and Kokan Region (malvani), were studied in this paper for their effect on phonetic duration through spoken phrases. © 2023 IEEE.",-,10.1109/ICICIS56802.2023.10430275,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186514086&doi=10.1109%2fICICIS56802.2023.10430275&partnerID=40&md5=9b961e87e288d90223f7200b0d4be10c,2024
Optimal Push and Pull-Based Edge Caching For Dynamic Content,"We introduce a framework and optimal &#x2018;fresh&#x2019; caching for a content distribution network (CDN) comprising a front-end local cache and a back-end database. The data content is dynamically updated at a back-end database and end-users are interested in the most-recent version of that content. We formulate the average cost minimization problem that captures the system&#x2019;s cost due to the service of aging content as well as the regular cache update cost. We consider the cost minimization problem from two individual perspectives based on the available information to either side of the CDN: the back-end database perspective and the front-end local cache perspective. For the back-end database, the instantaneous version of content is observable but the exact demand is not. Caching decisions made by the back-end database are termed &#x2018;push-based caching.&#x2019; For the front-end local cache, the age of content version in the cache is not observable, yet the instantaneous demand is. Caching decisions made by the front-end local cache are termed &#x2018;pull-based caching.&#x2019; Our investigations reveal which type of information, updates, or demand dynamic, is of higher value towards achieving the minimum cost based on other network parameters including content popularity, update rate, and demand intensity. IEEE",1-13,10.1109/TNET.2024.3352029,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187011877&doi=10.1109%2fTNET.2024.3352029&partnerID=40&md5=20580c57f68c1e44ef8665c01c7560d7,2024
Regression-based Path Loss Model Correction to Construct Fingerprint Database for Indoor Localization,"The fingerprint-based indoor localization has been widely used due to its simple hardware setup and high positioning accuracy, especially using Received Signal Strength Indicator (RSSI). However, the fingerprint database has main drawbacks in database construction, requiring a lot of effort and time. This paper presents an approach for reducing the effort of manual fingerprint database construction for indoor localization using path loss model enhancement via simple regression, i.e., Linear and Polynomial Regression for RSSI-based fingerprint technique. We used the public dataset to evaluate our proposal, which was collected in a small room with low interference using three wireless technologies (Wi-Fi, ZigBee, and Bluetooth Low Energy). The K-nearest neighbors (KNN) is applied to locate the target. We compared the results from the original path loss model (O-PLM), the linear regression-path loss model (LR-PLM), and the polynomial regression path loss model (PR-PLM) with the actual RSSI values to validate our approach. The results showed that the Original Path Loss Model database and the Polynomial Regression Path Loss Model database improved the localization accuracy for Wi-Fi devices. The Linear Regression Path Loss Model can perform well in the ZigBee device case.  © 2023 ACM.",181-186,10.1145/3592307.3592335,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169784578&doi=10.1145%2f3592307.3592335&partnerID=40&md5=c4f353ccb5212cdf8b7dbf68999b8da2,2023
An Ensemble Classification Model for Medical Databases Using Hybrid Weights,"Large databases are now frequently utilized to identify and diagnose medical disorders using extreme learning procedures. Due to its promising implementation and processing speed, the fundamental model of the study utilized for real-time applications is the ensemble classifier. Standard approaches associated with extreme learning practices project the inability for error prediction based on output layer hidden's selection under static weight selection. In this study, a unique weighted extreme learning machine (WELM) for predicting medical conditions is introduced. This research will help to solve the classification problems in the field of healthcare and medicine holds significant promise for improving the accuracy, validation, accountability, and reliability of medical data classification tasks. Moreover, the key objective for the weighted extreme learner's approach is to predict the illness by outlining the high-dimensional data applied for the case study. Typically, the practice proposed an ensemble model which functions the enhances the accurate predictions of high-dimensional cancer showing significant impact of the diagnosis and treatment planning. Furthermore, the WELM model effectiveness is validated through other ensemble learning simulations that include neural networks, random forest, PSO + NN, and ACO + NN techniques. Evaluation for the outcomes is verified through various medical datasets with attributes of the liver, ovarian, lung, diabetes, and DLBCL-Stanford. The results show that the WELM described is very computationally efficient which is related to true positive rate, accuracy, and error rate. © The Institution of Engineers (India) 2024.",-,10.1007/s40031-024-01006-1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186444686&doi=10.1007%2fs40031-024-01006-1&partnerID=40&md5=e588936513c8bd8cf5ab493699791fd9,2024
A lightweight hybrid CNN-LSTM explainable model for ECG-based arrhythmia detection,"Objective: Electrocardiogram (ECG) is the most frequent and routine diagnostic tool used for monitoring heart electrical signals and evaluating its functionality. The human heart can suffer from a variety of diseases, including cardiac arrhythmias. Arrhythmia is an irregular heart rhythm that in severe cases can lead to stroke and can be diagnosed via ECG recordings. Since early detection of cardiac arrhythmias is of great importance, computerized and automated classification and identification of these abnormal heart signals have received much attention for the past decades. Methods: This paper introduces a light Deep Learning (DL) approach for high accuracy detection of 8 different cardiac arrhythmias and normal rhythms. To employ DL techniques, the ECG signals were preprocessed using resampling and baseline wander removal techniques. The classification was performed using an 11-layer network employing a combination of Convolutional Neural Network (CNN) and Long Short Term Memory (LSTM). Results: In order to evaluate the proposed technique, ECG signals are chosen from the two physionet databases, the MIT-BIH arrhythmia database and the long-term AF database. The proposed DL framework based on the combination of CNN and LSTM showed promising results than most of the state-of-the-art methods. The proposed method reaches the mean diagnostic accuracy of 98.24%. Conclusion: A trained model for arrhythmia classification using diverse ECG signals were successfully developed and tested. Significance: This study presents a lightweight classification technique with high diagnostic accuracy compared to other notable methods, making it a potential candidate for implementation in Holter monitor devices for arrhythmia detection. Finally, we used SHapley Additive exPlanations (SHAP), the most popular Explainable Artificial Intelligence (XAI) method to understand how our model make predictions. The results indicate that those features (ECG samples) that have contributed the most to a prediction are consonant with clinicians’ decisions. Therefore, the use of interpretable models increases the trust of clinicians in AI and thus leads to decreasing the number of misdiagnoses of cardiovascular diseases. © 2023 Elsevier Ltd",-,10.1016/j.bspc.2023.105884,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85181051857&doi=10.1016%2fj.bspc.2023.105884&partnerID=40&md5=6edddee38f00527fa0e77b5719bb58bc,2022
AVID: A speech database for machine learning studies on vocal intensity,"Vocal intensity, which is quantified typically with the sound pressure level (SPL), is a key feature of speech. To measure SPL from speech recordings, a standard calibration tone (with a reference SPL of 94 dB or 114 dB) needs to be recorded together with speech. However, most of the popular databases that are used in areas such as speech and speaker recognition have been recorded without calibration information by expressing speech on arbitrary amplitude scales. Therefore, information about vocal intensity of the recorded speech, including SPL, is lost. In the current study, we introduce a new open and calibrated speech/electroglottography (EGG) database named Aalto Vocal Intensity Database (AVID). AVID includes speech and EGG produced by 50 speakers (25 males, 25 females) who varied their vocal intensity in four categories (soft, normal, loud and very loud). Recordings were conducted using a constant mouth-to-microphone distance and by recording a calibration tone. The speech data was labelled sentence-wise using a total of 19 labels that support the utilisation of the data in machine learning (ML) -based studies of vocal intensity based on supervised learning. In order to demonstrate how the AVID data can be used to study vocal intensity, we investigated one multi-class classification task (classification of speech into soft, normal, loud and very loud intensity classes) and one regression task (prediction of SPL of speech). In both tasks, we deliberately warped the level of the input speech by normalising the signal to have its maximum amplitude equal to 1.0, that is, we simulated a scenario that is prevalent in current speech databases. The results show that using the spectrogram feature with the support vector machine classifier gave an accuracy of 82% in the multi-class classification of the vocal intensity category. In the prediction of SPL, using the spectrogram feature with the support vector regressor gave an mean absolute error of about 2 dB and a coefficient of determination of 92%. We welcome researchers interested in classification and regression problems to utilise AVID in the study of vocal intensity, and we hope that the current results could serve as baselines for future ML studies on the topic. © 2024 The Author(s)",-,10.1016/j.specom.2024.103039,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184995100&doi=10.1016%2fj.specom.2024.103039&partnerID=40&md5=3d30be8332d9a964e355f070d4a9a3a1,2020
Analysis and Characterization of Cyber Threats Leveraging the MITRE ATT&CK Database,"MITRE ATT&CK is a comprehensive knowledge-base of adversary tactics, techniques, and procedures (TTP) based on real-world attack scenarios. It has been used in different sectors, such as government, academia, and industry, as a foundation for threat modeling, risk assessment, and defensive strategies. There are valuable insights within MITRE ATT&CK knowledge-base that can be applied to various fields and applications, such as risk assessment, threat characterization, and attack modeling. No previous work has been devoted to the comprehensive collection and investigation of statistical insights of the MITRE ATT&CK dataset. Hence, this work aims to extract, analyze, and represent MITRE ATT&CK statistical insights providing valuable recommendations to improve the security aspects of Enterprise, Industrial Control Systems (ICS), and mobile digital infrastructures. For this purpose, we conduct a hierarchical analysis starting from MITRE ATT&CK threat profiles toward the list of techniques in the MITRE ATT&CK database. Finally, we summarize our key findings while providing recommendations that will pave the way for future research in the area.  © 2013 IEEE.",1217-1234,10.1109/ACCESS.2023.3344680,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85181580017&doi=10.1109%2fACCESS.2023.3344680&partnerID=40&md5=f7693f2c4a6275a0d22beab2c83f88eb,2024
