start_id,end_id
10.1002/asi.24855,Journal of the Association for Information Science and Technology
10.3390/s24041209,Sensors
10.1007/s11042-023-16751-6,Multimedia Tools and Applications
10.1109/TNET.2024.3352029,IEEE/ACM Transactions on Networking
10.1007/s40031-024-01006-1,Journal of The Institution of Engineers (India): Series B
10.1016/j.bspc.2023.105884,Biomedical Signal Processing and Control
10.1016/j.specom.2024.103039,Speech Communication
10.1109/ACCESS.2023.3344680,IEEE Access
10.1109/TLT.2023.3322128,IEEE Transactions on Learning Technologies
10.1007/s12530-023-09559-0,Evolving Systems
10.1109/ACCESS.2023.3349242,IEEE Access
10.1109/TC.2023.3329943,IEEE Transactions on Computers
10.1021/acs.jcim.3c01617,Journal of Chemical Information and Modeling
10.1186/s13634-023-01094-z,Eurasip Journal on Advances in Signal Processing
10.1109/MIC.2023.3333199,IEEE Internet Computing
10.1007/s11760-024-03063-x,"Signal, Image and Video Processing"
10.3390/info15010034,Information (Switzerland)
10.1007/s11042-024-18990-7,Multimedia Tools and Applications
10.1007/s11042-023-16304-x,Multimedia Tools and Applications
10.1007/s11042-024-18461-z,Multimedia Tools and Applications
10.1016/j.commatsci.2024.112810,Computational Materials Science
10.1142/S0219467825500561,International Journal of Image and Graphics
10.1109/TC.2023.3326982,IEEE Transactions on Computers
10.1016/j.csbj.2024.03.015,Computational and Structural Biotechnology Journal
10.1016/j.bspc.2023.105465,Biomedical Signal Processing and Control
10.1109/TKDE.2023.3310038,IEEE Transactions on Knowledge and Data Engineering
10.3934/electreng.2024004,AIMS Electronics and Electrical Engineering
10.1109/TMM.2023.3312851,IEEE Transactions on Multimedia
10.1016/j.ins.2023.119847,Information Sciences
10.1109/TSMC.2023.3301001,"IEEE Transactions on Systems, Man, and Cybernetics: Systems"
10.1109/JIOT.2024.3373783,IEEE Internet of Things Journal
10.1016/j.csbj.2023.12.001,Computational and Structural Biotechnology Journal
10.1109/JIOT.2024.3352016,IEEE Internet of Things Journal
10.1186/s12859-024-05764-z,BMC Bioinformatics
10.1016/j.future.2023.09.024,Future Generation Computer Systems
10.1021/acs.jcim.3c01953,Journal of Chemical Information and Modeling
10.1109/TBIOM.2023.3327287,"IEEE Transactions on Biometrics, Behavior, and Identity Science"
10.1016/j.patcog.2023.110166,Pattern Recognition
10.1109/JBHI.2023.3311677,IEEE Journal of Biomedical and Health Informatics
10.1504/IJESDF.2024.136024,International Journal of Electronic Security and Digital Forensics
10.1002/asi.24839,Journal of the Association for Information Science and Technology
10.1109/TMM.2023.3312924,IEEE Transactions on Multimedia
10.1142/S0129065724500126,International Journal of Neural Systems
10.1016/j.compbiomed.2024.108066,Computers in Biology and Medicine
10.3390/s24020507,Sensors
10.1109/JBHI.2023.3337261,IEEE Journal of Biomedical and Health Informatics
10.1038/s41746-023-00994-6,npj Digital Medicine
10.1007/s11042-023-15139-w,Multimedia Tools and Applications
10.36680/j.itcon.2024.006,Journal of Information Technology in Construction
10.1016/j.eswa.2023.121924,Expert Systems with Applications
10.1021/acs.jcim.3c01812,Journal of Chemical Information and Modeling
10.1007/s12559-023-10193-w,Cognitive Computation
10.3390/s24051686,Sensors
10.1016/j.compbiomed.2024.108220,Computers in Biology and Medicine
10.1016/j.compgeo.2024.106249,Computers and Geotechnics
10.1016/j.iswa.2023.200310,Intelligent Systems with Applications
10.1007/s11042-024-18298-6,Multimedia Tools and Applications
10.1007/s11042-023-15959-w,Multimedia Tools and Applications
10.1007/s11042-023-15714-1,Multimedia Tools and Applications
10.1016/j.ins.2024.120262,Information Sciences
10.1109/TII.2023.3297139,IEEE Transactions on Industrial Informatics
10.1016/j.sasc.2023.200070,Systems and Soft Computing
10.1016/j.media.2024.103087,Medical Image Analysis
10.1109/ACCESS.2024.3362294,IEEE Access
10.1109/TDSC.2023.3264567,IEEE Transactions on Dependable and Secure Computing
10.1016/j.engappai.2024.108036,Engineering Applications of Artificial Intelligence
10.1109/TNSE.2023.3300768,IEEE Transactions on Network Science and Engineering
10.1109/TMM.2023.3303725,IEEE Transactions on Multimedia
10.1145/3633512,Journal of the ACM
10.13052/jcsm2245-1439.1311,Journal of Cyber Security and Mobility
10.1016/j.ins.2024.120257,Information Sciences
10.1016/j.bspc.2023.105823,Biomedical Signal Processing and Control
10.1016/j.compag.2023.108500,Computers and Electronics in Agriculture
10.1016/j.specom.2024.103047,Speech Communication
10.1016/j.compbiomed.2024.108224,Computers in Biology and Medicine
10.3233/JIFS-232918,Journal of Intelligent and Fuzzy Systems
10.1007/s11128-024-04346-5,Quantum Information Processing
10.1109/TMI.2023.3302473,IEEE Transactions on Medical Imaging
10.1109/JIOT.2023.3327738,IEEE Internet of Things Journal
10.1007/s11042-023-16508-1,Multimedia Tools and Applications
10.1007/s00034-023-02544-7,"Circuits, Systems, and Signal Processing"
10.1016/j.bspc.2023.105793,Biomedical Signal Processing and Control
10.1108/VJIKMS-09-2021-0222,VINE Journal of Information and Knowledge Management Systems
10.1016/j.dsm.2023.12.002,Data Science and Management
10.1109/TAI.2024.3376319,IEEE Transactions on Artificial Intelligence
10.1007/s11042-023-17854-w,Multimedia Tools and Applications
10.1007/s11042-023-16066-6,Multimedia Tools and Applications
10.1016/j.iswa.2023.200320,Intelligent Systems with Applications
10.1007/s00366-023-01813-y,Engineering with Computers
10.1145/3624717,Communications of the ACM
10.1007/s12065-022-00800-4,Evolutionary Intelligence
10.1109/MITS.2023.3346842,IEEE Intelligent Transportation Systems Magazine
10.1007/s40031-024-01027-w,Journal of The Institution of Engineers (India): Series B
10.1007/s10055-023-00900-1,Virtual Reality
10.1007/s11042-023-16261-5,Multimedia Tools and Applications
10.1109/THMS.2023.3329536,IEEE Transactions on Human-Machine Systems
10.1109/TLA.2024.10431420,IEEE Latin America Transactions
10.1007/s11042-024-18691-1,Multimedia Tools and Applications
10.1016/j.eswa.2023.121709,Expert Systems with Applications
10.1109/ACCESS.2024.3366455,IEEE Access
10.1016/j.ins.2024.120421,Information Sciences
10.1109/ACCESS.2024.3383313,IEEE Access
10.1109/ACCESS.2024.3380198,IEEE Access
10.1109/JIOT.2024.3365714,IEEE Internet of Things Journal
10.1016/j.iswa.2024.200343,Intelligent Systems with Applications
10.1109/TIFS.2023.3326364,IEEE Transactions on Information Forensics and Security
10.2478/amns.2023.2.00811,Applied Mathematics and Nonlinear Sciences
10.1186/s12859-024-05631-x,BMC Bioinformatics
10.1109/TBDATA.2023.3342619,IEEE Transactions on Big Data
10.1016/j.jnlest.2024.100234,Journal of Electronic Science and Technology
10.1016/j.displa.2023.102625,Displays
10.1016/j.neunet.2024.106267,Neural Networks
10.1109/ACCESS.2023.3349148,IEEE Access
10.1109/JBHI.2023.3331975,IEEE Journal of Biomedical and Health Informatics
10.1016/j.bspc.2024.106040,Biomedical Signal Processing and Control
10.2478/amns.2023.2.00862,Applied Mathematics and Nonlinear Sciences
10.1109/TPAMI.2024.3350049,IEEE Transactions on Pattern Analysis and Machine Intelligence
