paper_id,keywords
10.3390/s24041209,filtering process
10.3390/s24041209,measurement while drilling (MWD)
10.3390/s24041209,normalizing index
10.3390/s24041209,sensor-based data
10.3390/s24041209,Sweden
10.3390/s24041209,tunneling
10.1007/s11042-023-16751-6,Deep neural network DNN
10.1007/s11042-023-16751-6,Gaussian blur
10.1007/s11042-023-16751-6,Image contour
10.1007/s11042-023-16751-6,Iris recognition
10.1007/s11042-023-16751-6,Linear discriminate analysis LDA
10.1109/ICICIS56802.2023.10430275,Continuous Sentences
10.1109/ICICIS56802.2023.10430275,Corpora
10.1109/ICICIS56802.2023.10430275,Marathi Dialects
10.1109/ICICIS56802.2023.10430275,Pratt
10.1109/TNET.2024.3352029,age of information
10.1109/TNET.2024.3352029,caching
10.1109/TNET.2024.3352029,Content distribution networks
10.1109/TNET.2024.3352029,Costs
10.1109/TNET.2024.3352029,Databases
10.1109/TNET.2024.3352029,dynamic content
10.1109/TNET.2024.3352029,Measurement
10.1109/TNET.2024.3352029,Social networking (online)
10.1109/TNET.2024.3352029,Sociology
10.1109/TNET.2024.3352029,Statistics
10.1109/TNET.2024.3352029,Video on demand
10.1145/3592307.3592335,Fingerprint indoor localization
10.1145/3592307.3592335,K-Nearest Neighbor
10.1145/3592307.3592335,Linear Regression
10.1145/3592307.3592335,Pathloss model
10.1145/3592307.3592335,Polynomial Regression
10.1145/3592307.3592335,RSSI
10.1007/s40031-024-01006-1,Ensemble classifier
10.1007/s40031-024-01006-1,Extreme learning machine
10.1007/s40031-024-01006-1,High-dimensional data
10.1007/s40031-024-01006-1,Medical database
10.1007/s40031-024-01006-1,Neural network
10.1007/s40031-024-01006-1,Prediction
10.1007/s40031-024-01006-1,Weighted extreme learning method (WELM)
10.1016/j.bspc.2023.105884,Arrhythmia
10.1016/j.bspc.2023.105884,Convolutional Neural Network
10.1016/j.bspc.2023.105884,Deep learning
10.1016/j.bspc.2023.105884,Electrocardiogram
10.1016/j.bspc.2023.105884,Long Short Term Memory
10.1016/j.bspc.2023.105884,SHapley additive exPlanations
10.1016/j.specom.2024.103039,Convolutional neural network
10.1016/j.specom.2024.103039,Machine learning
10.1016/j.specom.2024.103039,Sound pressure level
10.1016/j.specom.2024.103039,Speech database
10.1016/j.specom.2024.103039,Support vector machine
10.1016/j.specom.2024.103039,Vocal intensity
10.1109/ACCESS.2023.3344680,advanced persistent threat
10.1109/ACCESS.2023.3344680,Cyber security
10.1109/ACCESS.2023.3344680,cyber threat analysis
10.1109/ACCESS.2023.3344680,cyber threat intelligence
10.1109/ACCESS.2023.3344680,MITRE ATT&CK
10.1109/TLT.2023.3322128,Artificial intelligence (AI) tools
10.1109/TLT.2023.3322128,automation
10.1109/TLT.2023.3322128,computer vision
10.1109/TLT.2023.3322128,deep learning
10.1109/TLT.2023.3322128,English as a foreign language (EFL)
10.1109/TLT.2023.3322128,humanoid robot
10.1109/TLT.2023.3322128,machine learning
10.1109/TLT.2023.3322128,speech recognition
10.1109/TLT.2023.3322128,translation
10.1109/NEleX59773.2023.10421720,Apriori Algorithm
10.1109/NEleX59773.2023.10421720,Association Rule Mining
10.1109/NEleX59773.2023.10421720,FP growth Algorithm
10.1109/NEleX59773.2023.10421720,Frequent Item Sets
