start_id,end_id
10.1109/ICICIS56802.2023.10430275,"2023 International Conference on Integration of Computational Intelligent System, ICICIS 2023"
10.1145/3592307.3592335,"6th International Conference on Electronics, Communications and Control Engineering, ICECC 2023"
10.1109/NEleX59773.2023.10421720,"2023 IEEE International Conference on Next Generation Electronics, NEleX 2023"
10.4230/LIPIcs.ICDT.2023.14,"22th International Conference on Database Theory, ICDT 2019"
10.4230/LIPIcs.ICDT.2023.7,"22th International Conference on Database Theory, ICDT 2019"
10.4230/LIPIcs.ICDT.2023.5,"22th International Conference on Database Theory, ICDT 2019"
10.4230/LIPIcs.ICDT.2023.8,"22th International Conference on Database Theory, ICDT 2019"
10.4230/LIPIcs.ICDT.2023.22,"22th International Conference on Database Theory, ICDT 2019"
10.4230/LIPIcs.ICDT.2024.15,"22th International Conference on Database Theory, ICDT 2019"
10.1145/3555776.3577772,"38th Annual ACM Symposium on Applied Computing, SAC 2023"
10.1109/ICRASET59632.2023.10420257,"2023 International Conference on Recent Advances in Science and Engineering Technology, ICRASET 2023"
10.1109/SIoT60039.2023.10389856,"2023 Symposium on Internet of Things, SIoT 2023"
10.1145/3539618.3592061,"46th International ACM SIGIR Conference on Research and Development in Information Retrieval, SIGIR 2023"
10.1109/ICITDA60835.2023.10426919,"8th International Conference on Information Technology and Digital Applications, ICITDA 2023"
10.1109/ICACTA58201.2023.10392861,"3rd International Conference on Advanced Computing Technologies and Applications, ICACTA 2023"
10.22489/CinC.2023.116,"50th Computing in Cardiology, CinC 2023"
10.1145/3543873.3587563,"2023 World Wide Web Conference, WWW 2023"
10.1109/IEMENTech60402.2023.10423480,"7th International Conference on Electronics, Materials Engineering and Nano-Technology, IEMENTech 2023"
10.1145/3592980.3595323,"19th International Workshop on Data Management on New Hardware, DaMoN 2023"
10.1145/3592980.3595312,"19th International Workshop on Data Management on New Hardware, DaMoN 2023"
10.1016/j.procs.2023.12.161,"14th International Conference on Emerging Ubiquitous Systems and Pervasive Networks / 13th International Conference on Current and Future Trends of Information and Communication Technologies in Healthcare, EUSPN/ICTH 2023"
10.1109/DESSERT61349.2023.10416500,"13th International Conference on Dependable Systems, Services and Technologies, DESSERT 2023"
10.1145/3584372.3588667,"42nd ACM SIGMOD-SIGACT-SIGAI Symposium on Principles of Database Systems, PODS 2023"
10.48786/edbt.2023.74,"26th International Conference on Extending Database Technology, EDBT 2023"
10.1109/VCIP59821.2023.10402708,"2023 IEEE International Conference on Visual Communications and Image Processing, VCIP 2023"
10.1117/12.3021828,"3rd International Conference on Biological Engineering and Medical Science, ICBioMed 2023"
10.1145/3579856.3582826,"18th ACM ASIA Conference on Computer and Communications Security, ASIA CCS 2023"
10.1109/DESSERT61349.2023.10416531,"13th International Conference on Dependable Systems, Services and Technologies, DESSERT 2023"
10.1145/3584372.3589935,"42nd ACM SIGMOD-SIGACT-SIGAI Symposium on Principles of Database Systems, PODS 2023"
10.1145/3579027.3608990,"27th ACM International Systems and Software Product Line Conference, SPLC 2023"
10.1109/LA-CCI58595.2023.10409478,"2023 IEEE Latin American Conference on Computational Intelligence, LA-CCI 2023"
10.1109/ICSC58660.2023.10449764,"11th IEEE International Conference on Systems and Control, ICSC 2023"
10.1109/ICECA58529.2023.10395674,"7th International Conference on Electronics, Communication and Aerospace Technology, ICECA 2023"
10.1109/ICAIHC59020.2023.10430485,"2nd International Conference on Ambient Intelligence in Health Care, ICAIHC 2023"
10.1109/IEMENTech60402.2023.10423464,"7th International Conference on Electronics, Materials Engineering and Nano-Technology, IEMENTech 2023"
10.1109/ICEFEET59656.2023.10452246,"3rd International Conference on Emerging Frontiers in Electrical and Electronic Technologies, ICEFEET 2023"
10.4230/LIPIcs.MFCS.2023.39,"48th International Symposium on Mathematical Foundations of Computer Science, MFCS 2023"
10.1145/3584371.3612990,"14th ACM Conference on Bioinformatics, Computational Biology, and Health Informatics, ACM-BCB 2023"
10.1109/IC-RVITM60032.2023.10435190,"2023 International Conference on the Confluence of Advancements in Robotics, Vision and Interdisciplinary Technology Management, IC-RVITM 2023"
10.4230/LIPIcs.ICDT.2023.6,"22th International Conference on Database Theory, ICDT 2019"
10.1145/3584372.3588666,"42nd ACM SIGMOD-SIGACT-SIGAI Symposium on Principles of Database Systems, PODS 2023"
10.1145/3580305.3599395,"29th ACM SIGKDD Conference on Knowledge Discovery and Data Mining, KDD 2023"
10.1145/3618257.3624843,"23rd Edition of the ACM Internet Measurement Conference, IMC 2023"
10.1109/ICEDCS60513.2023.00084,"2023 International Conference on Electronics and Devices, Computational Science, ICEDCS 2023"
10.1109/DSC61021.2023.10354217,"6th IEEE Conference on Dependable and Secure Computing, DSC 2023"
10.4230/LIPIcs.ICDT.2024.4,"22th International Conference on Database Theory, ICDT 2019"
10.1145/3595647.3595651,"1st Workshop on Verifiable Database Systems, VDBS 2023"
10.1145/3630202.3630225,"2023 CoNEXT Student Workshop, CoNEXT-SW 2023"
10.1145/3617694.3623223,"2023 ACM Conference on Equity and Access in Algorithms, Mechanisms, and Optimization, EAAMO 2023"
10.30420/456164024,15th ITG Conference on Speech Communication 2023
10.4230/LIPIcs.ICDT.2023.24,"22th International Conference on Database Theory, ICDT 2019"
10.1145/3615522.3615555,"16th International Symposium on Visual Information Communication and Interaction, VINCI 2023"
10.1109/ICITES59818.2023.10356864,"3rd IEEE International Conference on Intelligent Technology and Embedded Systems, ICITES 2023"
10.1109/ICEDCS60513.2023.00131,"2023 International Conference on Electronics and Devices, Computational Science, ICEDCS 2023"
10.1109/ACII59096.2023.10388135,"11th International Conference on Affective Computing and Intelligent Interaction, ACII 2023"
10.1109/BIOSIG58226.2023.10345994,"22nd International Conference of the Biometrics Special Interest Group, BIOSIG 2023"
10.1145/3595360.3595853,"7th Workshop on Data Management for End-To-End Machine Learning, DEEM 2023"
10.1145/3620678.3624656,"14th ACM Symposium on Cloud Computing, SoCC 2023"
10.1109/ICIC60109.2023.10381942,"8th International Conference on Informatics and Computing, ICIC 2023"
10.1109/MICC59384.2023.10419720,"16th IEEE Malaysia International Conference on Communication, MICC 2023"
10.1109/ICDACAI59742.2023.00127,"2nd International Conference on Data Analytics, Computing and Artificial Intelligence, ICDACAI 2023"
10.1109/AMCAI59331.2023.10431516,"1st IEEE Afro-Mediterranean Conference on Artificial Intelligence, AMCAI 2023"
10.4230/LIPIcs.ICDT.2024.20,"22th International Conference on Database Theory, ICDT 2019"
10.1145/3570991.3571009,"6th ACM India Joint International Conference on Data Science and Management of Data, CODS-COMAD 2023"
10.1145/3545947.3576350,"54th ACM Technical Symposium on Computer Science Education, SIGCSE 2023"
10.1109/CATS58046.2023.10424267,"2023 Computer Applications and Technological Solutions, CATS 2023"
10.1145/3592686.3592756,"3rd International Conference on Bioinformatics and Intelligent Computing, BIC 2023"
10.1109/3ICT60104.2023.10391650,"2023 International Conference on Innovation and Intelligence for Informatics, Computing, and Technologies, 3ICT 2023"
10.1109/BigDIA60676.2023.10429411,"9th International Conference on Big Data and Information Analytics, BigDIA 2023"
10.1145/3575693.3575699,"28th ACM International Conference on Architectural Support for Programming Languages and Operating Systems, ASPLOS 2023"
10.1109/IMCOM60618.2024.10418292,"18th International Conference on Ubiquitous Information Management and Communication, IMCOM 2024"
10.1145/3597465.3605224,"20th Workshop on Human-In-the-Loop Data Analytics, HILDA 2023"
10.1109/SmartCloud58862.2023.00020,"8th IEEE International Conference on Smart Cloud, SmartCloud 2023"
10.1109/SUMMA60232.2023.10349480,"5th International Conference on Control Systems, Mathematical Modeling, Automation and Energy Efficiency, SUMMA 2023"
10.1145/3638837.3638845,"12th International Conference on Networks, Communication and Computing, Conference Proceedings, ICNCC 2023"
10.1145/3584371.3613022,"14th ACM Conference on Bioinformatics, Computational Biology, and Health Informatics, ACM-BCB 2023"
10.1145/3555776.3577652,"38th Annual ACM Symposium on Applied Computing, SAC 2023"
10.1117/12.3021729,"3rd International Conference on Biological Engineering and Medical Science, ICBioMed 2023"
10.1109/ICSIMA59853.2023.10373467,"9th IEEE International Conference on Smart Instrumentation, Measurement and Applications, ICSIMA 2023"
10.1109/ICTBIG59752.2023.10456032,"3rd IEEE International Conference on ICT in Business Industry and Government, ICTBIG 2023"
10.1145/3595360.3595858,"7th Workshop on Data Management for End-To-End Machine Learning, DEEM 2023"
10.1109/SITA60746.2023.10373743,"14th International Conference on Intelligent Systems: Theories and Applications, SITA 2023"
10.1145/3584372.3588676,"42nd ACM SIGMOD-SIGACT-SIGAI Symposium on Principles of Database Systems, PODS 2023"
10.1145/3633053.3633059,"8th Conference on Computing Education Practice, CEP 2024"
10.1109/MODELS-C59198.2023.00009,"2023 ACM/IEEE International Conference on Model Driven Engineering Languages and Systems, MODELS-C 2023"
10.1145/3576915.3624394,"30th ACM SIGSAC Conference on Computer and Communications Security, CCS 2023"
10.1145/3584371.3612997,"14th ACM Conference on Bioinformatics, Computational Biology, and Health Informatics, ACM-BCB 2023"
10.1109/ICAR58858.2023.10406721,"21st International Conference on Advanced Robotics, ICAR 2023"
10.1109/IJCB57857.2023.10449189,"2023 IEEE International Joint Conference on Biometrics, IJCB 2023"
10.1145/3600006.3613174,"29th ACM Symposium on Operating Systems Principles, SOSP 2023"
10.1145/3581783.3611860,"31st ACM International Conference on Multimedia, MM 2023"
10.1145/3589132.3625623,"31st ACM SIGSPATIAL International Conference on Advances in Geographic Information Systems, ACM SIGSPATIAL GIS 2023"
10.1109/ICCCIS60361.2023.10425178,"4th IEEE International Conference on Computing, Communication, and Intelligent Systems, ICCCIS 2023"
10.1109/APWiMob59963.2023.10365603,"8th IEEE Asia Pacific Conference on Wireless and Mobile, APWiMob 2023"
10.1145/3592980.3595316,"19th International Workshop on Data Management on New Hardware, DaMoN 2023"
10.1109/SITA60746.2023.10373691,"14th International Conference on Intelligent Systems: Theories and Applications, SITA 2023"
10.1145/3596225.3596230,"1st Workshop on Simplicity in Management of Data, SiMoD 2023"
10.1145/3617695.3617702,"7th International Conference on Big Data and Internet of Things, BDIOT 2023"
10.1145/3592980.3595311,"19th International Workshop on Data Management on New Hardware, DaMoN 2023"
10.1145/3544549.3585884,"2023 CHI Conference on Human Factors in Computing Systems, CHI 2023"
10.1145/3577163.3595091,"11th ACM Workshop on Information Hiding and Multimedia Security, IH and MMSec 2023"
10.1145/3539618.3591702,"46th International ACM SIGIR Conference on Research and Development in Information Retrieval, SIGIR 2023"
10.1109/AIIIP61647.2023.00007,"2nd International Conference on Artificial Intelligence and Intelligent Information Processing, AIIIP 2023"
10.1145/3620678.3624668,"14th ACM Symposium on Cloud Computing, SoCC 2023"
10.1109/CANDAR60563.2023.00028,"11th International Symposium on Computing and Networking, CANDAR 2023"
10.1145/3627535.3638478,"29th ACM SIGPLAN Annual Symposium on Principles and Practice of Parallel Programming, PPoPP 2024"
10.1145/3611643.3613893,"31st ACM Joint Meeting European Software Engineering Conference and Symposium on the Foundations of Software Engineering, ESEC/FSE 2023"
10.1145/3564246.3585175,"55th Annual ACM Symposium on Theory of Computing, STOC 2023"
10.1109/ISCTech60480.2023.00094,"11th International Conference on Information Systems and Computing Technology, ISCTech 2023"
10.1145/3588195.3592982,"32nd International Symposium on High-Performance Parallel and Distributed Computing, HPDC 2023"
10.1145/3637494.3637516,"2023 International Conference on Electronics, Computers and Communication Technology, CECCT 2023"
